Locality,type 0f crime,date,time,area of the locality,sloved?,total police officers,
PRASHANT VIHAR,theft,01/05/13,16:57,2.076678927,0,20,
GOKULPURI,theft,09/07/15,6:37,1.566343791,0,40,
MAURYA ENCLAVE,theft,09/10/13,11:43,5.879256003,0,24,
MAURICE NAGAR,theft,14/02/14,18:41,6.149745104,1,96,
NEW USMANPUR,theft,04/10/15,5:27,3.093393387,0,52,
BAWANA,theft,08/08/14,11:52,40.32792292,0,83,
MOTI NAGAR,theft,28/05/16,16:47,3.148605142,1,80,
GEETA COLONY,theft,10/11/13,0:34,1.021961219,0,83,
MAURYA ENCLAVE,sexual_harassement,01/10/13,7:23,5.879256003,0,99,
MAURYA ENCLAVE,theft,27/06/16,6:07,5.879256003,1,78,
MODEL TOWN,theft,25/05/15,13:24,2.689157085,0,87,
JYOTI NAGAR,robbery,28/09/15,15:23,1.275858528,0,18,
RANI BAGH,theft,09/09/12,20:35,2.974723888,1,30,
MADHUVIHAR,theft,04/07/16,14:23,4.995712622,0,55,
NEB SARAI,theft,13/07/13,7:39,8.344724019,1,96,
I.P. ESTATE,theft,27/11/15,10:47,9.253420865,0,19,
ADRASH NAGAR,theft,01/05/14,19:48,1.646190527,1,28,
PASCHIM VIHAR,theft,30/01/16,6:35,3.794663797,0,32,
JAMA MASJID,theft,08/04/15,22:32,3.817050224,1,96,
RAJOURI GARDEN,assualt_murders,13/11/15,0:07,1.798942912,0,76,
HARI NAGAR,theft,04/06/12,0:53,2.386161479,0,99,
CHHAWLA,theft,29/06/16,17:17,26.30944559,0,63,
NEW FRIENDS COLONY,theft,11/08/15,13:38,4.04538671,0,59,
HARI NAGAR,theft,24/11/13,18:50,2.386161479,1,36,
BADAR PUR,theft,11/07/15,20:05,2.116989697,1,91,
AMAR COLONY,theft,10/02/16,5:06,1.505936692,1,40,
NARAINA,theft,19/11/13,9:32,14.93729349,0,74,
KARAWAL NAGAR,theft,07/06/15,12:10,2.937546578,0,93,
CIVIL LINES,theft,29/04/15,18:35,4.21554288,0,7,
ROHINI NORTH,murder,27/11/16,11:33,2.076678927,1,46,
TILAK NAGAR,rape,23/08/16,19:36,1.622207446,0,69,
DABRI,theft,30/06/13,7:00,3.401013428,0,25,
GULABIBAGH,theft,07/04/14,15:35,2.218660178,1,43,
RAJINDER NAGAR,theft,08/03/12,19:33,3.013302528,0,7,
CIVIL LINES,theft,09/06/16,19:01,4.21554288,0,24,
ADRASH NAGAR,robbery,16/04/12,9:12,1.646190527,0,57,
RAJOURI GARDEN,theft,16/08/16,21:04,1.731624057,0,94,
NANGLOI,theft,25/10/15,6:32,2.253261514,0,39,
UTTAM NAGAR,theft,29/03/12,1:41,2.747375479,1,97,
SULTAN PURI,theft,04/11/13,14:42,1.975070373,0,7,
SUBZIMANDI,theft,07/02/15,5:38,2.975208719,0,33,
ROOP NAGAR,theft,05/10/12,5:29,1.076492634,0,95,
MANDAWALI,theft,15/10/15,11:32,4.995712622,1,8,
PRASHANT VIHAR,theft,06/11/13,15:25,2.076678927,1,94,
VIJAY VIHAR,theft,25/04/12,11:17,2.649542395,0,37,
DELHI CANTT,assualt_murders,10/09/16,8:54,42.83635341,1,6,
KANJHAWALA,theft,06/10/12,4:46,35.4901909,1,79,
MEHRAULI,robbery,10/06/13,17:57,38.91186678,1,63,
NEW ASHOK NAGAR,theft,01/08/16,15:44,3.300804937,0,6,
VASANT KUNJ NORTH,theft,28/02/16,4:27,14.1053716,1,69,
GOVIND PURI,theft,16/04/14,16:56,8.99271206,1,67,
NEW ASHOK NAGAR,theft,22/07/15,14:35,3.300804937,1,72,
UTTAM NAGAR,theft,13/02/13,23:03,2.747375479,1,83,
DELHI CANTT,theft,29/2/2015,11:37,42.83635341,1,16,
ALIPUR,sexual_harassement,12/07/12,10:27,51.54547492,1,0,
JAFFARPUR KALAN,theft,30/08/13,12:07,70.46948722,0,70,
DELHI CANTT,theft,05/06/13,11:33,42.83635341,0,65,
PREETVIHAR,theft,19/10/14,10:49,2.272578698,1,11,
AMAR COLONY,theft,15/09/12,8:27,1.505936692,1,12,
SHAHDARA,theft,07/02/12,21:41,2.231365619,1,54,
MOTI NAGAR,theft,07/09/13,1:42,3.148605142,0,7,
BHALSWA DAIRY,theft,12/05/16,16:37,4.49852205,1,61,
SUBHASH PLACE,theft,22/02/13,9:03,0.885072498,1,19,
SEEMAPURI,theft,10/03/14,21:12,4.731868997,1,77,
KHYALA,theft,10/11/14,21:40,2.093069914,0,80,
MANDIR MARG,theft,06/05/13,15:14,9.889059631,1,37,
CONNAUGHT PLACE,theft,28/08/13,4:09,5.266891996,0,60,
BARAKHAMBA ROAD,theft,23/07/14,3:10,3.748441999,1,55,
NANGLOI,theft,03/06/15,16:03,2.253261514,0,28,
NAJAFGARH,theft,28/10/14,8:08,8.461597124,1,1,
NARELA,robbery,26/04/16,17:35,20.33327697,1,88,
HAUZQAZI,theft,29/2/2013,11:53,3.095888323,1,29,
SAGARPUR,theft,12/06/12,16:52,1.283551172,1,11,
TIMARPUR,theft,09/04/13,1:46,6.149745104,0,27,
SONIA VIHAR,theft,08/02/12,11:58,4.453887398,1,81,
SAFDARJUNG ENCLAVE,theft,03/08/15,1:14,3.486811523,1,46,
MALVIYA NAGAR,theft,09/02/12,18:21,1.379853572,1,53,
VIVEKVIHAR,theft,30/03/13,18:10,4.731868997,1,23,
PANDAV NAGAR,theft,13/06/12,22:41,1.470612978,0,93,
BHAJANPURI,assualt_murders,15/06/13,3:29,10.15799164,0,64,
BAWANA,theft,13/02/16,21:55,40.32792292,0,88,
DWARKA SOUTH,theft,02/07/14,1:55,30.06854798,0,65,
KASHMERE GATE,theft,11/04/16,9:20,1.627909974,0,19,
SANGAM VIHAR,theft,19/07/13,12:46,3.10572333,0,43,
MAHENDRA PARK,theft,27/07/12,13:18,2.463668046,0,90,
BARAKHAMBA ROAD,theft,25/01/13,4:57,3.748441999,0,23,
NANGLOI,rape,19/08/16,15:03,2.253261514,1,16,
BEGUM PUR,theft,05/10/16,20:16,35.4901909,1,57,
FATEHPUR BERI,theft,08/07/16,2:49,35.89559495,0,95,
HAUZ KHAS,theft,07/09/16,4:11,2.436526458,0,30,
KASHMERE GATE,theft,06/02/15,6:07,1.627909974,0,80,
HARSH VIHAR,rape,11/08/14,11:06,2.572204895,1,95,
MUNDKA,robbery,15/04/15,5:52,48.58235864,0,56,
BAWANA,robbery,06/05/14,20:43,40.32792292,0,17,
SWARUP NAGAR,robbery,03/08/13,19:09,12.08811457,1,48,
GEETA COLONY,theft,16/02/13,13:01,1.021961219,0,48,
SULTAN PURI,theft,15/09/15,15:08,1.975070373,1,21,
PASCHIM VIHAR,theft,05/10/12,23:01,3.794663797,1,73,
RAJOURI GARDEN,robbery,06/07/14,13:06,1.798942912,1,33,
SAROJINI NAGAR,theft,13/09/16,20:54,1.891342634,0,22,
RANJIT NAGAR,theft,12/06/14,12:12,2.003783762,0,71,
FARASH BAZAR,theft,01/08/12,0:13,1.721757744,0,20,
D.B.G ROAD,robbery,29/04/14,16:52,1.643641889,0,73,
SEELAMPUR,theft,03/10/12,0:05,1.57623738,0,75,
MAHENDRA PARK,theft,09/01/16,12:33,2.463668046,0,20,
CONNAUGHT PLACE,theft,05/10/16,17:23,5.266891996,0,0,
NEW USMANPUR,theft,13/01/14,12:09,3.093393387,0,35,
NEW USMANPUR,theft,01/09/14,11:50,3.093393387,1,34,
MEHRAULI,robbery,25/08/15,22:07,38.91186678,0,4,
SUBZIMANDI,theft,26/10/15,3:14,2.975208719,1,1,
DWARKA SEC-23,theft,04/05/12,2:05,30.06854798,0,35,
KRISHNA NAGAR,theft,24/03/15,19:59,1.904048824,1,70,
KHAJURIKHAS,theft,01/11/16,16:24,4.453887398,0,63,
MANDIR MARG,theft,04/05/12,21:58,9.889059631,0,54,
BURARI,theft,25/05/14,6:33,11.3338763,0,26,
GOVIND PURI,theft,27/01/14,22:09,8.99271206,0,50,
MANDAWALI,sexual_harassement,03/01/13,14:18,4.995712622,0,66,
DARYA GANJ,theft,30/07/12,1:44,5.570696132,1,10,
VASANT KUNJ NORTH,theft,13/10/13,9:47,14.1053716,0,66,
NAJAFGARH,theft,18/07/13,10:05,8.461597124,1,34,
KOTALA MUBARAK PUR,theft,05/09/13,18:06,1.628367164,0,40,
KIRTI NAGAR,murder,10/05/13,14:05,1.511976155,0,59,
BHALSWA DAIRY,theft,20/04/15,19:20,4.49852205,1,3,
AMAN VIHAR,theft,11/11/16,9:39,3.296887934,1,47,
AMAR COLONY,theft,17/07/15,21:30,1.505936692,1,72,
DWARKA SEC-23,theft,07/11/16,18:56,30.06854798,1,36,
JAFFARPUR KALAN,theft,01/02/12,19:53,70.46948722,0,66,
H. N. DIN,theft,25/01/12,18:13,10.31630404,1,18,
NABI KARIM,theft,03/02/14,22:18,1.799866446,0,46,
BINDAPUR,theft,05/08/13,17:42,2.747375479,0,45,
NEW USMANPUR,theft,24/01/12,21:55,3.093393387,1,38,
BABA HARI DAS NAGAR,theft,01/06/12,5:56,28.98213358,0,5,
BARAKHAMBA ROAD,robbery,29/11/12,4:13,3.748441999,0,63,
BADAR PUR,theft,21/01/14,14:37,2.116989697,0,22,
KALKAJI,theft,11/01/15,12:25,2.745338744,0,71,
NEW ASHOK NAGAR,theft,19/04/14,9:02,3.300804937,0,16,
PUNJABI BAGH,theft,20/02/15,21:00,2.57731064,0,51,
CHANAKYAPURI,theft,11/06/12,23:56,10.99345252,1,56,
NEB SARAI,theft,25/06/13,22:40,8.344724019,1,52,
MAYA PURI,theft,06/06/12,18:24,2.553754816,1,1,
SUNLIGHT COLONY,theft,09/06/13,16:30,2.112193774,0,61,
NABI KARIM,theft,15/03/12,8:22,1.799866446,0,6,
ROHINI NORTH,theft,17/08/12,22:21,2.076678927,0,54,
BARAKHAMBA ROAD,theft,30/08/14,13:35,3.748441999,1,42,
GULABIBAGH,theft,23/10/14,2:50,2.218660178,1,65,
DARYA GANJ,theft,30/05/14,5:06,5.570696132,1,14,
GREATER KAILASH,theft,23/04/15,0:38,3.793564843,0,75,
CONNAUGHT PLACE,theft,09/07/15,16:31,5.266891996,0,2,
HAUZ KHAS,theft,06/07/13,5:11,2.436526458,1,54,
AMAR COLONY,robbery,06/10/13,3:07,1.505936692,0,73,
KHYALA,theft,16/11/12,5:51,2.093069914,0,5,
MAHENDRA PARK,theft,11/08/16,2:48,2.463668046,0,23,
MANDAWALI,theft,07/07/16,3:59,4.995712622,1,56,
CHANDNI MAHAL,theft,11/10/14,4:45,5.570696132,0,8,
ALIPUR,theft,07/04/12,13:08,51.54547492,1,52,
ANANDVIHAR,theft,05/03/16,17:26,4.558969692,0,2,
AMAN VIHAR,theft,10/03/13,14:57,3.296887934,1,92,
AMAN VIHAR,theft,29/04/12,12:28,3.296887934,1,15,
MEHRAULI,theft,16/04/16,8:51,38.91186678,0,76,
KOTALA MUBARAK PUR,theft,19/11/13,16:01,1.628367164,1,39,
DELHI CANTT,theft,22/11/13,5:36,42.83635341,0,59,
CONNAUGHT PLACE,theft,20/05/13,17:49,5.266891996,1,69,
BAWANA,theft,10/03/12,19:20,40.32792292,0,90,
JAMA MASJID,theft,09/05/15,7:47,3.817050224,0,59,
DWARKA SEC-23,theft,06/08/16,22:14,30.06854798,1,7,
JAFFARPUR KALAN,theft,24/09/16,22:26,70.46948722,1,61,
CHHAWLA,theft,27/03/16,23:54,26.30944559,1,90,
BARA HINDU RAO,theft,11/01/16,0:12,1.749323881,1,61,
GANDHI NAGAR,theft,04/02/14,19:40,1.205110776,1,74,
CONNAUGHT PLACE,theft,02/11/15,10:49,5.266891996,0,72,
MEHRAULI,theft,29/07/13,11:21,38.91186678,0,0,
LAJPAT NAGAR,theft,23/07/13,23:16,1.505936692,0,7,
PREETVIHAR,robbery,23/02/16,9:03,2.272578698,0,37,
KESHAV PURAM,theft,22/04/14,1:24,1.352844685,0,76,
I.P. ESTATE,theft,06/08/12,18:12,9.253420865,0,28,
BURARI,theft,29/05/16,20:03,11.3338763,1,93,
PUNJABI BAGH,theft,08/08/15,1:13,2.57731064,1,82,
KOTALA MUBARAK PUR,theft,05/04/15,21:20,1.628367164,1,85,
RAJOURI GARDEN,rape,02/05/13,17:27,1.798942912,1,80,
BAWANA,theft,30/10/13,19:53,40.32792292,0,74,
RAJOURI GARDEN,theft,23/09/14,4:53,1.798942912,0,91,
BAWANA,theft,12/03/15,2:03,40.32792292,1,0,
BARAKHAMBA ROAD,theft,03/05/14,10:39,3.748441999,0,31,
ROHINI SOUTH,assualt_murders,17/01/15,3:44,2.649542395,1,31,
MANGOLPURI,assualt_murders,20/02/16,8:23,2.980192322,1,5,
MALVIYA NAGAR,theft,30/04/16,13:45,1.379853572,0,89,
KIRTI NAGAR,theft,11/04/15,2:58,1.511976155,1,24,
ALIPUR,theft,03/08/15,19:16,51.54547492,0,5,
NAJAFGARH,theft,24/09/12,1:58,8.461597124,1,91,
RANI BAGH,theft,13/05/16,17:25,2.974723888,1,71,
ANAND PARBAT,theft,28/05/15,19:30,1.948430286,1,25,
MAURYA ENCLAVE,sexual_harassement,13/08/15,19:56,5.879256003,1,99,
MALVIYA NAGAR,theft,07/02/16,4:53,1.379853572,1,4,
GANDHI NAGAR,theft,22/08/14,19:51,1.205110776,0,6,
MANDIR MARG,theft,03/10/13,14:35,9.889059631,1,10,
AMAR COLONY,theft,08/11/16,2:29,1.505936692,0,95,
SUNLIGHT COLONY,theft,30/01/13,2:43,2.112193774,0,95,
AMAR COLONY,theft,25/11/15,0:42,1.505936692,0,7,
SUBHASH PLACE,sexual_harassement,04/07/12,2:19,0.885072498,1,5,
BURARI,sexual_harassement,03/02/12,12:37,11.3338763,1,25,
KIRTI NAGAR,theft,22/08/13,19:52,1.511976155,1,59,
SAGARPUR,theft,10/07/13,5:32,1.283551172,1,80,
ASHOK VIHAR,theft,05/04/13,21:36,3.536288039,1,69,
MANDIR MARG,theft,27/11/16,7:09,9.889059631,0,62,
ANANDVIHAR,robbery,04/05/16,7:23,4.558969692,0,32,
SHAKARPUR,theft,06/11/12,14:04,3.019451766,0,90,
SWARUP NAGAR,theft,18/03/13,17:49,12.08811457,0,38,
KIRTI NAGAR,robbery,05/01/13,18:39,1.511976155,1,32,
TILAK NAGAR,rape,28/10/13,5:58,1.622207446,0,50,
TILAK NAGAR,sexual_harassement,17/07/13,15:43,1.622207446,0,70,
PAHARGANJ,robbery,12/07/14,11:54,1.728182346,1,52,
HAUZ KHAS,theft,04/08/15,3:30,2.436526458,0,22,
PANDAV NAGAR,robbery,22/02/13,14:41,1.470612978,0,63,
PUNJABI BAGH,theft,21/02/12,18:29,2.57731064,0,64,
GOVIND PURI,theft,20/08/14,8:56,8.99271206,0,89,
SULTAN PURI,theft,10/03/16,10:38,1.975070373,1,84,
BARA HINDU RAO,theft,06/01/12,3:11,1.749323881,0,40,
HAUZ KHAS,theft,19/01/14,3:10,2.436526458,1,18,
MEHRAULI,theft,28/01/13,9:58,38.91186678,0,77,
BARAKHAMBA ROAD,sexual_harassement,10/05/12,0:55,3.748441999,0,42,
NARELA,theft,10/06/13,22:05,20.33327697,1,41,
AMAN VIHAR,theft,29/05/15,3:15,3.296887934,0,53,
JAFFARPUR KALAN,theft,07/07/14,5:20,70.46948722,0,39,
FATEHPUR BERI,theft,29/06/12,0:44,35.89559495,1,52,
PUNJABI BAGH,theft,04/07/15,12:08,2.57731064,1,58,
CHHAWLA,robbery,04/07/16,7:31,26.30944559,1,55,
DWARKA SEC-23,theft,17/11/14,9:32,30.06854798,0,46,
AMAN VIHAR,theft,23/06/16,11:12,3.296887934,1,88,
BARAKHAMBA ROAD,theft,13/11/14,21:53,3.748441999,1,63,
BHALSWA DAIRY,theft,25/11/14,22:16,4.49852205,0,51,
MAHENDRA PARK,theft,12/09/15,20:08,2.463668046,0,75,
JAMA MASJID,theft,19/08/15,19:36,3.817050224,1,11,
BURARI,theft,30/2/2016,18:23,11.3338763,0,9,
SUNLIGHT COLONY,theft,05/06/13,18:00,2.112193774,1,85,
NANDNAGARI,theft,09/09/13,11:02,2.02815697,0,76,
MANSAROVAR PARK,theft,30/2/2016,15:28,2.231365619,0,77,
ROHINI NORTH,theft,26/07/15,8:01,2.076678927,1,29,
KOTALA MUBARAK PUR,theft,03/09/16,9:28,1.628367164,0,71,
PASCHIM VIHAR,theft,11/08/13,20:51,3.794663797,1,5,
NIHAL VIHAR,theft,10/11/16,8:11,3.660010619,0,13,
KANJHAWALA,theft,18/11/13,9:08,35.4901909,1,29,
MANDAWALI,sexual_harassement,10/07/13,16:22,4.995712622,0,11,
CHANAKYAPURI,theft,16/03/15,21:33,10.99345252,1,58,
NANGLOI,theft,23/04/13,6:33,2.253261514,1,82,
CHITRANJAN PARK,theft,10/06/14,12:26,2.659329537,1,78,
TILAK NAGAR,theft,27/03/15,13:59,1.622207446,1,0,
MANSAROVAR PARK,theft,23/02/16,0:33,2.231365619,0,35,
MALVIYA NAGAR,rape,17/09/14,21:09,1.379853572,1,77,
MEHRAULI,theft,18/06/14,21:13,38.91186678,0,98,
PAHARGANJ,theft,10/01/13,7:21,1.728182346,0,62,
PARLIAMENT STREET,theft,30/09/16,7:11,5.266891996,1,57,
MAHENDRA PARK,theft,15/08/14,16:32,2.463668046,0,34,
SHAHBAD DAIRY,theft,30/09/13,20:47,49.82264953,1,74,
PARSHAD NAGAR,robbery,13/02/16,5:50,4.104570166,1,18,
BAWANA,theft,06/06/14,6:05,40.32792292,1,33,
KHYALA,theft,19/04/16,13:54,2.093069914,1,3,
SONIA VIHAR,theft,07/05/13,12:33,4.453887398,1,94,
NABI KARIM,theft,04/04/15,3:06,1.799866446,1,30,
NABI KARIM,theft,29/06/15,13:20,1.799866446,0,62,
GOVIND PURI,theft,24/02/13,1:29,8.99271206,0,57,
NABI KARIM,theft,11/09/13,14:16,1.799866446,0,75,
RAJOURI GARDEN,theft,16/10/13,19:38,1.798942912,0,14,
AMAN VIHAR,theft,08/03/16,5:03,3.296887934,0,86,
MAYA PURI,theft,24/06/14,8:06,2.553754816,1,19,
SARITA VIHAR,theft,08/02/16,23:42,6.171102991,1,79,
ANANDVIHAR,theft,20/05/15,19:28,4.558969692,0,3,
INDERPURI,assualt_murders,24/04/14,13:14,1.255396299,1,84,
FATEHPUR BERI,theft,05/02/12,1:45,35.89559495,0,62,
ROHINI NORTH,theft,25/04/14,23:41,2.076678927,0,13,
BADAR PUR,robbery,12/04/16,22:09,2.116989697,1,63,
BARA HINDU RAO,theft,03/01/16,21:18,1.749323881,1,52,
KOTALA MUBARAK PUR,theft,01/10/15,8:11,1.628367164,0,16,
BARAKHAMBA ROAD,theft,06/05/15,15:49,3.748441999,1,59,
GANDHI NAGAR,theft,08/02/12,7:25,1.205110776,1,73,
KESHAV PURAM,theft,07/04/13,6:12,1.352844685,0,92,
ROHINI NORTH,theft,14/05/13,7:29,2.076678927,1,65,
KRISHNA NAGAR,theft,19/04/12,11:02,1.904048824,1,42,
BARAKHAMBA ROAD,theft,18/01/16,7:56,3.748441999,1,89,
UTTAM NAGAR,theft,18/08/13,18:25,2.747375479,0,33,
SADAR BAZAR,theft,01/03/16,9:31,2.975208719,0,43,
BARAKHAMBA ROAD,theft,14/09/15,6:25,3.748441999,0,98,
SOUTH CAMPUS,theft,03/01/16,0:06,4.518856098,0,64,
MOTI NAGAR,theft,13/03/12,13:01,3.148605142,0,90,
NEW USMANPUR,theft,19/04/12,19:52,3.093393387,0,81,
ANANDVIHAR,theft,12/06/14,18:57,4.558969692,0,54,
SULTAN PURI,theft,17/04/15,4:48,1.975070373,1,85,
KHYALA,theft,04/10/16,8:24,2.093069914,1,24,
AMAR COLONY,theft,02/07/15,9:53,1.505936692,0,30,
ANAND PARBAT,theft,11/04/16,19:51,1.948430286,1,88,
MAYA PURI,theft,25/05/13,23:29,2.553754816,1,48,
MADHUVIHAR,theft,07/05/16,15:30,4.995712622,0,91,
JAFFARPUR KALAN,theft,18/02/12,16:20,70.46948722,1,52,
BEGUM PUR,theft,06/01/16,16:00,35.4901909,0,96,
KHYALA,theft,09/10/12,9:09,2.093069914,0,98,
SULTAN PURI,rape,08/09/16,18:09,1.975070373,0,11,
BAWANA,robbery,15/09/16,16:21,40.32792292,0,88,
HAUZ KHAS,theft,27/04/15,14:46,2.436526458,0,30,
BADAR PUR,theft,02/11/15,16:20,2.116989697,1,68,
KHYALA,gangrape,23/06/16,13:43,2.093069914,0,73,
KESHAV PURAM,theft,08/03/12,5:21,1.352844685,0,78,
NEW ASHOK NAGAR,theft,04/04/16,3:36,3.300804937,0,85,
PALAM VILLAGE,theft,19/07/13,15:37,1.326803624,0,20,
DARYA GANJ,theft,16/07/16,8:49,5.570696132,1,96,
NEW ASHOK NAGAR,theft,28/08/13,9:24,3.300804937,0,65,
ADRASH NAGAR,theft,23/04/15,21:43,1.646190527,0,26,
SARITA VIHAR,theft,27/02/12,16:24,6.171102991,0,46,
VASANT KUNJ NORTH,theft,29/04/12,3:28,14.1053716,1,64,
SHAHBAD DAIRY,theft,01/11/12,19:02,49.82264953,1,8,
CHANDNI MAHAL,theft,04/10/13,16:49,5.570696132,1,46,
NABI KARIM,theft,30/2/2012,13:59,1.799866446,1,90,
FARASH BAZAR,theft,19/07/15,21:18,1.721757744,0,71,
KALKAJI,theft,12/10/12,5:54,2.659329537,0,87,
NEW USMANPUR,theft,15/01/14,10:23,3.093393387,1,67,
NAJAFGARH,theft,01/05/12,7:43,8.461597124,1,3,
RANI BAGH,theft,03/11/16,18:11,2.974723888,1,34,
NAJAFGARH,theft,27/04/16,20:50,8.461597124,1,45,
MANDAWALI,theft,14/11/16,4:51,4.995712622,1,8,
MOTI NAGAR,theft,10/10/15,21:39,3.148605142,1,98,
PULPRAHLAD PUR,theft,28/02/14,18:25,3.852127696,1,91,
SULTAN PURI,robbery,01/09/16,19:12,1.975070373,0,75,
VIKAS PURI,theft,08/09/12,13:12,1.247661874,1,35,
ANANDVIHAR,robbery,08/11/15,22:02,4.558969692,1,8,
MUKHERJI NAGAR,theft,01/09/16,23:41,6.149745104,0,64,
MUKHERJI NAGAR,robbery,21/03/12,14:46,6.149745104,1,41,
PARSHAD NAGAR,theft,26/04/14,8:06,4.104570166,0,79,
BHARAT NAGAR,theft,29/05/13,10:22,1.939521818,0,31,
UTTAM NAGAR,theft,21/03/16,9:49,2.747375479,1,79,
VIJAY VIHAR,theft,10/05/12,7:01,2.649542395,1,75,
CHHAWLA,theft,28/01/15,21:57,26.30944559,1,25,
TIMARPUR,theft,22/08/14,18:38,6.149745104,0,45,
KHYALA,theft,12/09/13,8:14,2.093069914,1,11,
PREETVIHAR,theft,26/02/15,3:55,2.272578698,0,61,
PASCHIM VIHAR,theft,29/09/15,8:03,3.794663797,1,34,
ROHINI SOUTH,theft,11/07/13,14:02,2.649542395,1,53,
SARITA VIHAR,theft,17/09/15,15:17,7.942774025,1,12,
MANDIR MARG,theft,26/02/13,10:00,9.889059631,0,94,
BHAJANPURI,theft,17/04/15,17:51,10.15799164,0,81,
VASANT KUNJ NORTH,theft,25/08/16,1:30,14.1053716,1,59,
MANGOLPURI,theft,09/06/16,2:27,2.980192322,1,53,
TUGLAK ROAD,theft,16/01/12,9:00,6.857849293,0,27,
CIVIL LINES,theft,07/05/12,7:15,4.21554288,1,41,
ROHINI SOUTH,theft,16/03/16,5:27,2.649542395,1,72,
BABA HARI DAS NAGAR,theft,26/09/14,9:38,28.98213358,1,26,
HARSH VIHAR,theft,20/08/12,17:32,2.572204895,1,93,
MOTI NAGAR,robbery,05/08/13,23:47,3.148605142,0,79,
MOTI NAGAR,theft,08/10/13,11:10,3.148605142,1,58,
MAYURVIHAR,theft,09/08/15,19:31,2.111658828,0,36,
MAYURVIHAR,theft,14/08/15,6:23,2.111658828,0,18,
PRASHANT VIHAR,assualt_murders,17/04/14,11:34,2.076678927,0,22,
HAUZQAZI,theft,02/01/13,11:45,3.095888323,0,12,
AMAN VIHAR,robbery,01/11/12,18:49,3.296887934,0,36,
LAHORI GATE,sexual_harassement,01/05/12,15:22,2.975208719,1,22,
NARAINA,theft,01/01/16,9:38,14.93729349,1,91,
ADRASH NAGAR,theft,03/11/16,1:39,1.646190527,1,2,
BINDAPUR,theft,13/10/14,20:59,2.5680795,0,15,
TILAK MARG,theft,14/01/15,1:14,3.748441999,0,76,
BARA HINDU RAO,theft,16/01/15,8:37,1.749323881,1,23,
SUNLIGHT COLONY,theft,23/11/13,1:03,2.112193774,1,95,
RAJOURI GARDEN,theft,13/10/14,20:43,1.798942912,0,65,
ASHOK VIHAR,theft,10/05/12,21:43,3.536288039,1,29,
BAWANA,robbery,09/07/13,22:30,40.32792292,0,11,
SULTAN PURI,theft,04/10/16,23:35,1.975070373,1,28,
KASHMERE GATE,theft,27/10/15,8:04,1.627909974,0,96,
KASHMERE GATE,theft,08/05/14,16:30,1.627909974,1,73,
GOVIND PURI,theft,09/05/14,11:46,8.99271206,0,59,
MUKHERJI NAGAR,theft,17/06/15,22:03,6.149745104,0,92,
MODEL TOWN,theft,11/07/13,18:17,2.689157085,1,88,
ANAND PARBAT,theft,22/10/16,8:30,1.948430286,0,57,
SHALIMAR BAGH,theft,14/07/12,9:13,1.28161156,0,79,
ANAND PARBAT,robbery,25/09/12,12:48,1.948430286,1,26,
NEW USMANPUR,theft,30/04/12,15:38,3.093393387,0,31,
BAWANA,theft,23/08/12,7:33,40.32792292,1,12,
BABA HARI DAS NAGAR,theft,06/03/12,2:03,28.98213358,0,51,
ROHINI NORTH,rape,04/03/16,0:48,2.076678927,0,69,
ASHOK VIHAR,robbery,25/06/16,10:05,3.536288039,0,47,
RAJOURI GARDEN,theft,25/04/16,7:44,1.731624057,1,59,
MUKHERJI NAGAR,theft,16/06/14,5:52,6.149745104,0,97,
GANDHI NAGAR,sexual_harassement,27/06/13,0:50,1.205110776,0,7,
NARAINA,robbery,18/10/12,12:59,14.93729349,0,32,
SUNLIGHT COLONY,theft,30/03/13,5:40,2.112193774,0,14,
GULABIBAGH,theft,13/11/16,6:57,2.218660178,0,88,
DARYA GANJ,theft,20/01/15,6:48,5.570696132,1,12,
MADHUVIHAR,theft,27/01/13,19:46,4.995712622,1,51,
RANI BAGH,theft,09/10/15,11:49,2.974723888,1,79,
PAHARGANJ,robbery,18/09/16,3:38,1.728182346,0,45,
BINDAPUR,theft,23/09/14,17:08,2.5680795,0,53,
BABA HARI DAS NAGAR,robbery,16/05/14,15:38,28.98213358,0,27,
PATEL NAGAR,rape,01/03/13,17:47,4.104570166,0,38,
SARITA VIHAR,theft,22/07/13,13:16,6.171102991,1,9,
GOVIND PURI,theft,15/05/12,18:20,8.99271206,1,57,
SHAKARPUR,theft,23/10/14,3:54,3.019451766,1,98,
MAHENDRA PARK,theft,06/05/15,12:15,2.463668046,1,0,
MAURYA ENCLAVE,theft,28/03/16,4:02,5.879256003,0,55,
RAJOURI GARDEN,theft,29/10/14,2:38,1.798942912,1,97,
NEW USMANPUR,theft,07/02/15,22:56,3.093393387,0,44,
SHAHDARA,theft,11/01/16,13:42,2.231365619,1,63,
SAFDARJUNG ENCLAVE,theft,15/10/14,6:48,2.366255942,1,7,
BABA HARI DAS NAGAR,theft,12/01/12,12:05,28.98213358,0,65,
BURARI,theft,10/09/12,22:21,11.3338763,1,17,
SUBZIMANDI,theft,10/04/12,6:57,2.975208719,0,90,
MOTI NAGAR,sexual_harassement,11/08/12,3:23,3.148605142,1,12,
KRISHNA NAGAR,theft,21/05/12,3:51,1.904048824,0,54,
BURARI,theft,08/07/14,19:01,11.3338763,0,80,
I.P. ESTATE,theft,02/09/13,14:54,9.253420865,1,92,
KIRTI NAGAR,theft,03/11/16,17:44,1.511976155,0,81,
